Tất cả;categories.ALL
Thanh kiếm YEP;nameSword
Ống Tuýp inox;nameTuyp
Cây gậy;nameGay
Súng Shotgun;nameShotgun
Súng bắn tỉa;nameTruong
Súng lục;nameLuc
Súng;nameSung
Vũ khí cận chiến;nameCan_chien
Quyền trượng ma thuật;nameQuyen_truong
LỚP;text_class
Khiên;types.eqShield
Nón;types.eqHat
Quần;types.eqTrouser
Giày;types.eqBoot
Học giả;skill_Scholar
Ảo hóa;skNameAoHoa
Tạo ra một lớp chắn ảo ảnh, khiến đối phương nhầm lẩn. Vì thế kẻ thù chỉ \ngây ra 15% tổn thương. Đến lúc thích hợp 70% cơ hội phản công lại.;skDescAoHoa
Kiên trì;skNameKienTri
Một học giả phải kiên trì. Nếu thất bại lúc đầu, hãy thử lại.Nếu thất bại nữa, \nhãy đưa ra một cách tiếp cận mới và thử lại. Chỉ với sự kiên trì, tôi có thể đánh bại cả thế giới. Điều này đẩy lùi kẻ thù một khoảng cách.;skDescKienTri
Vô hình;skNameVoHinh
Thu hút sự chú ý, kẻ thù sẽ tấn công bạn.;skDescVoHinh
skName_hoisinh
skDesc_hoisinh
skill_Lover
skName_bantim
skDesc_bantim
skill_Soldier
Thời gian hồi tuyệt chiêu;text_cooldownSteps
Tất nhiên rồi, di chuyển bởi WASD. \nẤn Space để tương tác.;dangnoibiet
Điều đó chỉ hoạt động khi có bàn phím. \nCó thể thay đổi không?;nhunghoibiet
Tớ không chắc, nhưng nếu có tùy chọn thì  \nsẽ thay đổi được phím nhấn.;dangnoituy
Là một sự kiện quan trọng nhất của con người. tớ cảm nhận điều đó là vớ vẩn. \ntớ đã xem xét, tham gia cuộc tuyển chọn như một cuộc dạo chơi. Không quan trọng là đậu. \nchỉ cần được đến trung tâm được cảm nhận một lần cũng đủ vui rồi.;DANG.TAP_1_14a
Tìm hiểu cái chết của ứng viên;help_C1
Tìm 5 con mèo;help_C2
Nhiệm vụ chính tuyến;help_C3
Con cá của tớ đâu ?;help_C4
Khám phá căn hầm bí mật tại ngôi chùa;help_C5
Đến hiện trường vụ tự sát để xem xét bằng chứng;help_c1a
Hãy tìm cách nói chuyện với chúng;help_c2a
Có 4 con mèo ở ngôi chùa này;help_c2b
Một con quái vật biến hình thành mèo;help_c2c
Hãy tìm cá cho mèo thích kể chuyện;help_c2d
Hãy đánh bại mèo hư hỏng;help_c2e
Hãy biến hình thành mèo để nói chuyện với mèo khôn;help_c2f
Hãy nói chuyện với tất cả mọi người ở xung quanh ngôi chùa;help_c3a
Giúp TUAN tìm những chú mèo;help_c3b
Thuyết phục TUYEN tham gia nhóm;help_c3c
Một người bán hàng có con cá;help_c4a
Tìm cách mở cánh cửa bí mật;help_c5a
Lời gợi ý;text_goiy
